english,native_form,compound_explanation,pos
to stop,nérimi,,VB
should,dézimi,,MD
vestal,nérimidérima,,NN
pure,múranuzómut,,JJ
fate,sélimi,,NN
happy,férimala,,JJ
to forget,dólumu,,VB
to forgive,várudólumu,to forget for the benefit of others,VB
or,hére,,CONJ
to rain,shíyni,,VB
mountain,zeħris,,NN
to sleep,órumo,,VB
to read,elirízimi,,VB
to dance,názaluzo,,VB
proud,xórughuralu,,JJ
man,háruma,,NN
empty,sám,,JJ
desert,xóronuzám,empty field,NN
to flee/to run,fudubóromu,to go quickly,VB
gunslinger,tórumodóruma,one skilled at hitting,NN
terror,mózu,,NN
twenty,kádi,,CARD
eight,ú,,CARD
judge,téme,,NN
to judge,témeni,,VB
critic,támodóruma,judge-scholar,NN
to critique,támodórumanu,,VB
year,vári,,NN
to begin,vózu,,VB
boat,púda,,NN
paper,léda,,NN
to float,némi,,VB
gutter,xálo,,NN
rain,shíynimi,,NN
Mr. (honorific senior male),máguzu,,NN
Mrs. (honorific senior female),mágizi,,NN
normal,sólumalu,,JJ
to cool,xázumumórumu,to kill burning,VB
to say/to tell,tálimi,,VB
wing,zélirilára,air hand,NN
family,núma,,NN
alike/same,sámi,,JJ
unhappy,férine,,JJ
way/manner,vérizi,,NN
all/each,zéreniri,,DT
to remain,séradi,,VB
soon,márali,,RB
program,dóruva,,NN
always,zérani,,RB
video,tóralu,,NN
to cook,fíza,,VB
President,máguzúra,,NNP
future,nérivári,,NN
market,márunu,,NN
tea,téziri,,NN
river,zárunu,,NN
to flow,mézimi,,VB
busy,nólumuno,,JJ
to be born,múranutórumu,to be given life,VB
glory,mulugóramu,light-maker,NN
letter,rázumu,,NN
bridge,báluru,,NN
bicycle,pórunu,,NN
to repair,kázumu,,VB
April,Kúrumuvóruma,flower-spring,NNP
cold,ħórumu,,JJ
bright,férimili,,"(ie, happy light)"
clock,sólunudógoru,time tool,NN
thirteen,vési,,JJ
time,sólunu,,NN
to play,pálumu,,VB
to review,périmi,,VB
efficient,hélirili,,JJ
to be careful,vérima,to stop looking,VB
to sit,sólumu,,VB
person,náruma,,NN
to drink,nízimi,,VB
energy,zérimi,,NN
charm,véramizéridáge,magic tool,NN
toe,fíza,,NN
to recover/regain,mérimi,,VB
window,vólumu,,NN
bus,trávumudógoru,travel tool,NN
snow,súnaru,,NN
road,márugu,,NN
lamp,dórunu,,NN
business,nólumunonu,,NN
music,límeri,,NN
small,póluru,,JJ
secret,púrumunu,,NN
bird,túrumu,,NN
sky,féliri,,NN
game,dózama,,NN
stranger,pórumu,,NN
kindness,sórulu,,NN
to depend,zórumu,,VB
wool,lúmuralurázamu,soft strip,NN
bat,vúrunámora,air-fish,NN
to be surprised,vóruza,,VB
to seize / to grasp,páruma,,VB
boy,dóramu,,NN
life,múranu,,NN
extraordinary,zórazalu,,JJ
to daydream,sélimivélimi,,VB
ambition,mégevélami,,NN
pizza,píza,,NN
Swedish,Swidi,,JJ
director,tóralugóruama,video creator,NN
death,míraninéri,end-of-life,NN
cat,mázumu,,NN
to chase,dárumu,,VB
to climb,fárumu,,VB
tree,kóramudógoru,flower-tool,NN
hand,lóra,,NN
to ache,kérimi,,VB
to break,dórumodóruma,hit-finish,VB
leg,néri,,NN
heart,múranuzómut,,NN
to count,kérimi,,VB
to possess/own,páruma,,VB
shimmer,glíza,,NN
to glow,glizami,,VB
to distract,lémarimi,,VB
hunter,dárumodóruma,one skilled at chasing,NN
fox,vúlumu,,NN
target,tórunu,,NN
tongue,zálumadárama,food-giver,NN
to find,kélimi,,VB
to gift,tórumuzubimi,to give with the goal of seeing benefit,VB
caffeinated,kávuruzúra,full of coffee,JJ
snacker,sánumunáru,snack-person,NN
tired,zérimidérimali,energy-finished,JJ
professor,zúramáguzúra,honoured-scholar,NN
teacher,zúragúra,scholar-friend,NN
nuisance,kérimoshtórumodóruma,damned calculation breaker,NN
emperor,Máguzúrazóronara,honoured leader,NNP
ice cream,súnaruzánomu,snow snack,NN
stately,máguzulu,honourable,JJ
animal,báruna,dog-like thing,NN
dome,spíra,,NN
fish,nímera,,NN
to fish,bílega,,VB
red,xáru,,JJ
mathematician,kérimeshdérima,calculation-scholar,NN
knowledge,sérimini,that which comes from learning,NN
scientist,sériminizéradarima,knowledge-scholar,NN
to run,rúzamu,,VB
conscience,gorumaluxórumu,good-belief,NN
kilometer,kílimiri,,NN
race,fúramu,,NN
binoculars,múrudógoru,eye-tool,NN
to get married,númazamu,,VB
month,sélimivári,day-year,NN
good,górumalu,,JJ
best,górumu,,RB
worst,mórumu,,RB
age/era,vórunu,,NN
wisdom,zárumu,,NN
blood,xárumútúzuma,red-life-water,NN
foolishness,bóruno,,NN
belief,xórumu,,NN
incredulity/disbelief,xórumuno,,NN
season,tóruvoru,,NN
light,mili,,NN
light,milili,,JJ
darkness,miline,,NN
hobby,fólumugóruama,,NN
path,láka,,NN
to hike,túra,,VB
a hike,túramu,,NN
easy/simple,sélireli,,JJ
dark,milineli,,JJ
hope,góruma,,NN
winter,ħórumu-vóruma,cold spring,NN
despair,górumano,,NN
later,márali,,RB
beach,bárolu,,NN
agent,dóranáruma,,NN
AI,áimi,,NN
idea,vérami,,NN
system,dórava,,NN
evolution,vóramu,,NN
readme,dézielirízimini,must read,NN
automation,tóravimi,,NN
training,séravimi,,NN
to evoke/to awaken,vóna,,VB
mist,shíynimi,,NN
mouth,vérizi,,NN
morning,kúrumuvóruma,,NN
fist,tárumu,,NN
to raise,páruma,,VB
hell,mózulu,,NN
rock,kárunu,,NN
to roll/float,némi,,VB
to crash,dúramu,,VB
downward,márugulu,,RB
baboon,babún,,NN
bread,bádu,,NN
house,dómuru,,NN
to lose,dólumu,,VB
fen/marsh,shúynuxóronu,rainy field,NN
marshy,shúynughóronulu,,JJ
magic,véramizérimi,idea energy,NN
long ago,lóruma,,RB
wind,zéliri,,NN
cloud,nórumu,,NN
park,vórulu,,NN
star,félirina,thing in the sky,NN
to sing,mánaruma,,"(ie, that which produces a song)"
sun,fázumu,,NN
to eat,zálumu,,VB
food,záluma,that which is eaten,NN
satiated,zálumazúra,full of food,NN
water,túzuma,,NN
night,mulunozólunu,darkness time,NN
moon,lánumu,,NN
lunch,zálumuzólunu,time for eating,NN
top secret,mágupúrumanulu,honoured secret,JJ
to rise,vóvuma,,VB
tomorrow,vóruna,,RB
who,lízire,,WH
present/gift,póruma,,NN
personal time,múranuzólunu,life time,NN
to sacrifice,téramadérimi,give-finish,VB
unique/extraordinary,zórazalu,,JJ
riverbank,zárunubárolu,river beach,NN
everything,mógospórumu,world-stuff,NN
empty,sám,,JJ
book,ládamóluru,paper dictionary,NN
garden,kóvunu,,NN
although,kogono,not this,SCONJ
otherwise,kogonováruzulu,other way,RB
lizard,polunámora,small fish,NN
to walk,búlumu,,VB
statistics,stádira,,NN
inference,ínfereni,,NN
strip/slice,réza,,NN
alternative,nérili,,NN
hypothesis,verizi,,NN
null,lízéra,,JJ
name,zida,,NN
zero,lízéra,,CARD
transformer,tránzuru,,NN
to relate,vérimi,,VB
attention,tánuru,,NN
UBC,Yúbuysuy,,NNP
to travel,trávimi,,VB
to struggle/to fight,sárimi,,VB
to procrastinate,lómamu,,VB
late,nórulu,,JJ
observatory,múnaru,,NN
planet,zánguru,,NN
telescope,pélani,far instrument,NN
algorithm,fénara,,NN
satellite,xúbaru,,NN
storm,fázuma,,NN
sister,náziri,,NN
to write,nárumu,,NN
sin,mózuma,,NN
exam/quiz/test,pírimi,,NN
nuanced,shúyalu,,JJ
hard/difficult,nárugu,,JJ
snake,shissíra,,NN
homework,dézari,,NN
to memorize,zólumu,,VB
to dream,térami,,VB
mathematics,párumu,,NN
to cultivate,cultivate,,VB
owl,pórumu,,NN
island,rómuru,,NN
kitchen,fízani,,NN
photograph,múrazama,,NN
to take a picture,múrazamu,,VB
joy,fólumu,,NN
rhythm,réna,,NN
great/grand,kálala,,JJ
epic,zarakálala,,JJ
to graduate/to master,sérimidérimi,to finish learning,VB
to clean,kázumudarumu,to finish repairing/to polish,VB
speech,tálimidérimi,finished speaking,NN
to reach,lóradárumu,to chase with the hand,VB
instrument,pálumuma,that which is played,NN
introduction,vózumu,the begin thing,NN
to hear,bárimi,,VB
musician,lámorudóru,music scholar,NN
athlete,pálumudóru,play scholar,NN
bat,tórumobálara,hit-stick,NN
stick,bálara,,NN
stadium,fúramuspára,race room,NN
theatre,tóraluspára,movie room,NN
actor,tóralunáruma,movie person,NN
corn,máys,,NN
popcorn,máyspánomu,snack corn,NN
script,tóraluládamóluru,movie book,NN
to cry,périma,,VB
black-and-white,bóħrunuvárumulu,,JJ
scene,vérizima,thing that is seen,NN
hawk,ħárum,,NN
crow,ħòro,,NN
cave,milinezeħris,dark mountain,NN
swan,éle,,NN
hummingbird,píbi,,NN
weather,félirivérizi,sky-path,NN
forest,kóramudógorughóronu,tree-field,NN
feather,mìli,,NN
difficulty,vúru,,NN
holy,zóluru,,JJ
gold,málalu,,JJ
to return,mérimi,,VB
to fly,lózumu,,VB
to bloom,fála,,VB
muse,véramidágeri,idea-tool,NN
far,pélani,,RB
son,nùmi,,NN
father,tára,,NN
murder,míraninérizi,cause death,NN
murderer,míraninérizina,one who causes death,NN
murderous,míraninérizili,being desirable of causing death,JJ
fated,sélimili,to be the object of fate,JJ
vital,múranulu,state of being alive,JJ
Achilles,Aghíli,,NNP
Peleus,Péleewsa,,NNP
Achaea,Ākíya,,NNP
angry,xòrolu,,JJ
anger,xòrona,,NN
rage,xòrolughòron,angry anger,NN
Hades,Hedis,,NNP
heaven,vúlunu,,NN
ocean,séliru,,NN
fire,xázunu,,NN
iron/metal,tézimi,,NN
fruit,vónuma,,NN
seed,vónu,,NN
egg,kúrumu,,NN
to wait,nérimi,,VB
to carry,lórumu,,VB
to bite,zálami,,VB
to fear,mózumu,,VB
to smell,nízami,,VB
mime,mimísmi,,NN
weapon,tórumodógoru,hit tool,NN
cloth,lúmuraluréza,soft slice,NN
truth,xélirini,,NN
message,tálimirézami,speech letter,NN
enemy,mósumagáru,fear friend,NN
map,mágedéreni,world data,NN
hospital,múranuspára,life room,NN
wealth,málalunu,,NN
history,sólunuzórumu,time story,NN
evidence,xéliridéreni,true data,NN
theory,véramizélima,idea rule,NN
pattern,rénavérizi,rhythm path,NN
conflict,sárumuzórumu,fight story,NN
success,dárumuvólumu,joyful finish,NN
failure,dáliminéri,lacking ending,NN
concept,vónaváramu,idea evocation,NN
complexity,nárugunu,,NN
draft,vózumurélama,first poem,NN
one,sé,,CARD
two,po,,CARD
three,nézi,,CARD
four,vóru,,CARD
five,náni,,CARD
six,kóru,,CARD
seven,tézi,,CARD
eight,ú,,CARD
nine,níza,,CARD
ten,vézi,,CARD
eleven,nómo,,CARD
twelve,fúzu,,CARD
thirteen,hálu,,CARD
fourteen,téna,,CARD
fifteen,bíra,,CARD
sixteen,shís,,CARD
seventeen,mánu,,CARD
eighteen,vóza,,CARD
nineteen,lúna,,CARD
twenty,kádi,,CARD
400 píra (20^2; 100 in base,20),,CARD
"8,000 múzu (20^3; 1000 in base",20),,CARD
"64,000,000 vóma (20^6; 1000000 in base",20),,CARD
white,éleli,,JJ
yellow,málalu,,JJ
blue,félirili,,JJ
green,kóvanulu,,JJ
purple,shúyalu,,JJ
gray,shíynili,,JJ
silver,tézimili,,JJ
transparent,múranuzámulu,,JJ
bright/shining,glízali,,JJ
loud,bárimili,,JJ
quietly,nebárimilimi,,RB
heavy,kárunulu,,JJ
lightweight,mìlili,,JJ
hot,xázunulu,,JJ
sharp,tórumalu,,JJ
blunt,dólumalu,,JJ
brave,mózunolu,no-fear-having,JJ
cowardly,mózumulu,,JJ
coward,mózuma,,NN
wise,zárumulu,,JJ
foolish,bórunulu,,JJ
fast,fúdurulu,,JJ
slowly,nólumulu,,RB
tall/high,vóvumalu,,JJ
short/low,márugulu,,JJ
wide,mógolu,,JJ
narrow,rézali,,JJ
wet,shíynimili,,JJ
dry,xóronuzámushlu,,JJ
ancient,zúravórunulu,,JJ
young,dórumulu,,JJ
expensive,málalunulu,,JJ
cheap,múranulu,,JJ
spicy,xázimili,,JJ
sweet,férimili,,JJ
bitter,xòrolanu,,JJ
hard,tézimili,,JJ
soft,lúmuralu,,JJ
separately,séli,,RB
often,zéranira,,RB
rarely,dólumura,,RB
clean,kázumulu,,JJ
dirty,mózumulu,,JJ
rich,málalununulu,,JJ
poor,dólumununulu,,JJ
strong,zérimili,,JJ
weak,zérimineli,,JJ
early,vózumulu,,JJ
late,nérimili,,JJ
dangerous,mózulu,,JJ
safe,górumalu,,JJ
lucky,sélimili,,JJ
unfortunate,férineli,,JJ
honest,xélirili,,JJ
deceitful,púrumulu,,JJ
hungry,zálumavázumu,,JJ
thirsty,nízimavézimi,,JJ
helpful,gérimilu,,JJ
useless,tógorunolu,,JJ
sword,míraninérizibálara,kill-stick,NN
earth/soil/dirt:,dága,,NN
smoke:,fúma,,NN
lalley/lowland:,màru,,NN
bone:,shéne,,NN
skin/bark,pélo,,NN
salt:,báza,,NN
shadow/ghost:,níma,,NN
key,vólumudógoru,window tool,NN
medicine:,múranuzáluma,life food,NN
alphabet,rázumurána,letter rhythm,NN
prison,nèmispíra,wait room,NN
mirror,várudógoru,look tool,NN
grave,míranispíra,death room,NN
weapon,tórumodógoru,hit tool,NN
armour,lúmuralubálo,soft-skin; ironic,NN
