language,sentence_id,surface,segmented,gloss,translation
lang1,57,"Hére ni kege dóruvanu izamimi, nie línenili tírimi kómurulu izérimimi.","hére ni ke-ke dóruva-nu i-sami-mi, ni-e líneni-li tírimi kómuru-li i-sérimi-mi","while 1SG this-DEF.NEAR program-INESS INAN-be-WIT, 1SG-ERG linguistics-ELAT also computer-ELAT INAN-learn-WIT","While I was in this program, I learned about linguistics and computers."
lang1,58,"Hére teli dóruva unórumugomo, nie nérivárini kege dérivali sérimi udórumumu ivézimimi.","hére teli dóruva i-nórumu-ke-me, ni-e nérivári-nu ke-ke dériva-li sérimi i-tórumu-mi i-vézimi-mi","when 1PL.POSS program INAN-end-FUT-DIR.EVID, 1SG-ERG future-INESS this-DEF.NEAR program-ELAT learning INAN-use-WIT INAN-want-WIT","When this program ends, I want to use my learning from this program in the future."
lang1,59,"Garrette géni ni tegee zérani agérimimi, hére kogo zúra sólurulu izamimi.","Garrett-e géni ni te-ke-ERG zérani a-gérimi-mi, hére ko-ko zúra sólurulu i-sami-mi","Garrett-ERG BEN 1PL.INCL PL.SUBJ-ERG always ANIM-help-WIT, and this-DEF.NEAR very kind INAN-be-WIT","Thank you, Garrett, for always helping us."
lang1,60,"Máguzúragoo teli Ha Ha Land tóralu ivérimami, ni zúra férimala izamimi, há!","máguzúra-ko-o teli Ha Ha Land tóralu i-vérima-mi, ni zúra férimala i-sami-mi há","President-DEF-ERG 1PL.POSS Ha Ha Land video INAN-see-WIT, 1SG very happy INAN-be-WIT MIR","The President saw our Ha Ha Land video, and I am very happy, wow!"
lang1,61,Kogo márunu nérili izamimi.,ko-ko márunu nérili i-sami-mi,this-DEF.NEAR market new-ADJ INAN-be-WIT,This market is new.
lang1,62,"Hére ni nili gérigéri tírimi márunulu bóromumu, nie téziri ufálumumu.","hére ni ni-li géri-géri tírimi márunu-lu bóromu-mi, ni-e téziri i-fálumu-mi","when 1SG 1SG-POSS friend-PL together market-ILL go-WIT, 1SG-ERG tea INAN-enjoy-WIT","When I go to the market with my friends, I enjoy tea."
lang1,63,"Hére Vánuguvanu ishíynimi, zárunu imézimimi.","hére Vánuguva-nu i-shíyni-mi, zárunu i-mézimi-mi","when Vancouver-INESS INAN-rain-WIT, river INAN-flow-WIT","When it rains in Vancouver, the river flows."
lang1,64,Dórumadórumagoo tegee rázumu ielirízimimi.,dóruma-dóruma-ko-o te-ke-ERG rázumu i-elirízimi-mi,student-PL-DEF-ERG PL.SUBJ-ERG letter INAN-read-WIT,The students read the letter.
lang1,65,Bálurugo zárununu lúmuralu izamimi.,báluru-ko zárunu-nu lúmura-lu i-sami-mi,bridge-DEF.NEAR river-INESS beautiful-ADJ INAN-be-WIT,The bridge in the river is beautiful.
lang1,66,"Hére nie nili pórunugo ukázumumu, ni pánurulu bóromumu.","hére ni-e ni-li pórunu-ko i-kázumu-mi, ni pánuru-lu bóromu-mi","when 1SG-ERG 1SG-POSS bicycle-DEF.NEAR INAN-repair-WIT, 1SG library-ILL go-WIT","After I repair my bicycle, I go to the library."
lang1,67,"Kúrumuvórumanu sélimi férimili ħórumu izamimi, hére sólunudógoruzólunudógorugoo hálu udórumummo.","kúrumuvóruma-nu sélimi férimili ħórumu i-sami-mi, hére sólunudógoru-sólunudógoru-ko-o hálu i-tórumu-m-me","flower.spring-INESS day bright-ADJ cold-ADJ INAN-be-WIT, and clock-DEF-ERG thirteen INAN-hit-WIT-INFER","It was a bright cold day in April, and the clocks were striking thirteen."
lang1,68,"Dórumudórumagoo Vánuguvanu pánurunu kómuru ubálumumu, hére zúra férimala izamimi.",dórumu-dórumu-ko-o Vánuguva-nu pánuru-nu kómuru i-pálumu-mi hére zúra férimala i-sami-mi,kid-PL-DEF-ERG Vancouver-INESS library-INESS computer INAN-play-WIT and very happy INAN-be-WIT,"The children play on the computer in the library in Vancouver, and they are very happy."
lang1,69,"Zéreni dórumadórumagoo tegee dénimini tórunudórunu ibérimimi, hére sérimi hélurulu izamimi.",zéreni dóruma-dóruma-ko-o te-ke dénimi-nu tórunu-tórunu i-périmi-mi hére sérimi hélirili i-sami-mi,many student-PL-DEF-ERG PL.SUBJ-ERG school-INESS quiz-PL INAN-review-WIT and learning efficient INAN-be-WIT,"Many students review quizzes at school, and learning is efficient."
lang1,70,"Hére máguzúrago donubánunu uzólumumu, zéreni nárumanárumagoo tegee máguzúrago avérimami.",hére máguzúra-ko donubánu-nu i-sólumu-mi zéreni náruma-náruma-ko-o te-ke máguzúra-ko a-vérima-mi ,when president-DEF.NEAR museum-INESS INAN-sit-WIT many person-PL-DEF-ERG PL.SUBJ-ERG president-DEF.NEAR ANIM-see-WIT,"When the President sits in the museum, many people look at him."
lang1,71,"Nárumanárumagoo tegee kávuru hére téziri zérani inízimimi, hére tege aórumumu ufárumunemu.",náruma-náruma-ko-o te-ke káfuru hére tésiri zérani  i-nízimi-mi hére te-ge a-órumo-mi i-fárumu-ne-mi ,person-PL-DEF-ERG PL.SUBJ-ERG coffee and tea always INAN-drink-WIT and 3PL.SUBJ ANIM-sleep-WIT INAN-can-NEG-WIT,"People always drink coffee and tea, and cannot sleep."
lang1,72,"Héré sélimi ufálumumu hére zéreni aórumumu, zérimi imérimimi.",héré sélimi i-fálumu-mi hére zéreni a-órumo-mi zérimi i-mérimi-mi,if life INAN-enjoy-WIT and much/a lot ANIM-sleep-WIT energy INAN-recover-WIT,"If you enjoy life and sleep a lot, you regain energy"
lang1,73,"Hére teli dóruva unórumugomo, teli dórumadórumagoo tegee nérivárini dávuru igélimigeme ivézimimi.","hére teli dóruva i-nórumu-ke-me, teli dóruma-dóruma-ko-o te-ke-ERG nérivári-nu dávuru i-kélimi-ke-me i-vézimi-mi","when 1PL.POSS program INAN-end-FUT-DIR.EVID, 1PL.POSS student-PL-DEF-ERG PL.SUBJ-ERG future-INESS job INAN-find-FUT-DIR.EVID INAN-want-WIT","When our program ends, we want our students to find jobs in the future."
lang1,74,Ni tegee nérimili teli véreni géni nérili mázumu ugóruamugomo ivézimimi.,ni te-ke-ERG nérimili teli véreni géni nérili mázumu i-góruamu-ke-me i-vézimi-mi,1PL.INCL PL.SUBJ-ERG final-ADJ 1PL.POSS project BEN new-ADJ model INAN-create-FUT-DIR.EVID INAN-want-WIT,We want to create a new model for our capstone project.
lang1,75,"Kege dóruvanu, kómurugómuru ko tege hólurulu tógoru izamimi.","ke-ke dóruva-nu, kómuru-gómuru ko te-ke hóluru-lu tógoru i-sami-mi","this-DEF.NEAR program-INESS, computer-PL 3PL.INAN PL.SUBJ helpful-ADJ tool INAN-be-WIT","In this program, computers are helpful tools."
lang1,76,"Hére teli dénidénili izérimidérimime, zéreni dórumadórumagoo tegee tírimi ufórumugomo.","Segmentation: hére teli déni-déni-li i-sérimi-dérimi-me, zéreni dóruma-dóruma-ko-o te-ke-ERG tírimi i-fórumu-ke-me","Gloss: when 1PL.POSS class-PL-ELAT INAN-study-finish-INFER.EVID, many student-PL-DEF-ERG PL.SUBJ-ERG together INAN-celebrate-FUT-DIR.EVID","When our classes are finished, many students will celebrate together."
lang1,77,"Héré ni tegee tírimi agérimimi, nérimili teli véreni térimi imélimigeme.","héré ni te-ke-ERG tírimi a-gérimi-mi, nérimili teli véreni térimi i-mélimi-ke-me","if 1PL.INCL PL.SUBJ-ERG together ANIM-help-WIT, final-ADJ 1PL.POSS project goal INAN-achieve-FUT-DIR.EVID","If we help each other, our capstone project will achieve its goal."
lang1,78,Nili vólumunu súnaru ivérimami.,ni-li vólumu-nu súnaru i-vérima-mi,1SG-POSS window-INESS snow INAN-see-WIT,I see snow in my window.
lang1,79,"Hére ni nili pórunugo ugázumumu, ni márugulu bóromumu.","hére ni ni-li pórunu-ko i-kázumu-mi, ni márugu-lu bóromu-mi","when 1SG 1SG-POSS bicycle-DEF repair-WIT, 1SG road-ILL go-WIT","After I repair my bicycle, I go onto the road."
lang1,80,Teli pánurunu dórunu lúmuralu izamimi.,teli pánuru-nu dórunu lúmuralu i-sami-mi,1PL.POSS library-INESS lamp beautiful-ADJ INAN-be-WIT,The lamp in our library is beautiful.
lang1,81,"Héré tímee ni agérimimi, nili límeri ufálumumu.","héré tíme-e ni a-gérimi-mi, ni-li límeri i-fálumu-mi","if 2SG-ERG 1SG help-WIT, 1SG-POSS music enjoy-WIT","If you help me, I enjoy my music."
lang1,82,Nili dórumu hérege dórununu aórumomu há!,ni-li dórumu hérege dórunu-nu a-órumo-mi há,1SG-POSS child here lamp-INESS ANIM-sleep-WIT MIR,"My child is sleeping here by the lamp, wow!"
lang1,83,Pólurula túrumugo félirini izamimi.,póluru-la túrumu-ko féliri-nu i-sami-mi,small-ADJ.ANIM bird-DEF.NEAR sky-INESS INAN-be-WIT,The small bird is in the sky.
lang1,84,Nie zérani pórumubórumu sórulunu uzórumumu.,ni-e zérani pórumu-pórumu sórulu-ni i-zórumu-mi,1SG-ERG always stranger-PL kindness-INESS INAN-depend-WIT,I have always depended on the kindness of strangers.
