english,pos,lang1,lang2,lang3,lang4,lang5,lang6,lang7
to forget,VB,dólumu,ídólúmúmú,,,udólumumu,,údólúmṹmṹ
to forgive,VB,várudólumu,,,,,,
or,CONJ,hére,,hére,,hére,,
to rain,VB,shíyni,ízhííynímí,ízhííynĩ́mĩ,,ishíynimi,ishíynĩmĩ,shííynĩ́mĩ́gì
mountain,NN,zeħris,ngìħríh,tàzeħríslí,dzìħríslí,dngeħrih,dzeħris,
to sleep,VB,órumo,àórúmúmú,à-órúmõ-mĩ,àwórúmũ̀mṹ,àwórumogomo,aórumõmũ,òórúmũ̀mṹ
to read,VB,elirízimi,íìlírííngímíngíngímílí,,íìlíríízímĩ́zízímĩ,ieliríngimimili,ielirízimĩnẽ,íìlírííngímĩ́mĩ
to dance,VB,názaluzo,,,,,unãzaluzo,
proud,JJ,xórughuralu,xórúghúràlú,xórúghúràlú,,,,
man,NN,háruma,,hàrúmã̀go,úbàrúmã̀mṹ,hànomu,ubarumãmũ,
empty,JJ,sám,,,,hàm,sam,Sèm
desert,NN,xóronuzám,xórùnúnú,xóronṹzàmlú,xórùnṹzàmṹshnṹ,,,xórùnṹngòmṹshnṹ
to flee/to run,VB,fudubóromu,,úvúdúbóromṹgomõ,fúúràmṹ,pàlumudóruma,,fúúròmṹ
gunslinger,NN,tórumodóruma,,Tórúmõdrúmã̀gook,,,,
terror,NN,mózu,,Mṍzú,,móngu,mṍz,
twenty,CARD,kádi,qàdí,kàdíngéreúú,,,bvézingangali,
eight,CARD,ú,Ú,úú,úú,ú,nĩzã,
judge,NN,téme,,ídémẽnĩ́mĩ,,idémenimi,tímẽ,
to judge,VB,témeni,ídémìmí,ídémẽnĩ́dérímĩ́mĩ,,idémenimi,idémẽnĩdérimĩmĩ,
critic,NN,támodóruma,,tàmõdrúmã̀gook,,Tàmodórumàgo,tamõdórumã,
to critique,VB,támodórumanu,í-témìmí,,,,,
year,NN,vári,ggàrígàríní,,,,bvarivarili,vvèrínĩ
to begin,VB,vózu,,úvózúmṹ,,uvóngumumu,,
boat,NN,púda,,,,púda,,
paper,NN,léda,,,,lédàni,lédalédã,
to float,VB,némi,némímí,ínẽ́mĩ,nẽ́mĩ́mĩ,,,
gutter,NN,xálo,xàlùnú,xàlonṹ,xàlùnṹ,,,
rain,NN,shíynimi,ízhííynímí,íjííynĩ́mĩ,,ishíynimi,ishíynĩmĩ,shííynĩ́mĩ́gì
Mr. (honorific senior male),NN,máguzu,,,,,,
Mrs. (honorific senior female),NN,mágizi,,,mã̀qgízíqgì,,,
normal,JJ,sólumalu,,,,,,
to cool,VB,xázumumórumu,,,,,,
to say/to tell,VB,tálimi,ídàlímíngíngímí,,,,,
wing,NN,zélirilára,kélàrídàqngà,,,kélàridàqgà,,
family,NN,núma,,nṹṹmã̀gàrú,nṹṹmã,núma,nṹmãgaru,nṹṹmõ̀gòòg
alike/same,JJ,sámi,,,,,,
unhappy,JJ,férine,,,,,,kérínĩ
way/manner,NN,vérizi,hérì,nẽ́rílí,ízàmĩ́mĩ,,kélirivérizi,ngérènĩ
all/each,DT,zéreniri,ngérìnírílí,íínferenĩ,ízéràdímĩ,Hére,dzérenĩri,hérìgì
to remain,VB,séradi,héràdímí,ízéràdímĩ́mĩ,ízéràdímĩ,ingéràdimi,azéradimĩ,íngérèdímĩ
soon,RB,márali,,,,màràli,,mẽ̀rèlí
program,NN,dóruva,þàdórúvàgà,þàdrúvànṹ,ðdórúvã,ngdóruvànu,þadóruvã,ngdórúvòngò
always,RB,zérani,ngéràní,nṍràmãã,ízàmĩ́mĩ,,dzéranĩ,ngérènĩ
video,NN,tóralu,,,,,tóralugóruamã,tóròlú
to cook,VB,fíza,,,ígíízàmĩ,,,
President,NNP,máguzúra,Màgúngúúràgà,mã̀gúzúúràgo,mã̀gúzúúrã,,Mãguzúrago,
future,NN,nérivári,,,nẽ́rígàrínĩ,,nẽ́rivari,nẽ́rívèrínĩ
market,NN,márunu,màrúnúnú,mã̀rúnṹnṹ,mã̀rúnṹ,,mãrunũlu,mõ̀rúnṹ
tea,NN,téziri,téngírí,tézírí,tézímĩ́lí,Teli,téziri,nẽ́rílí
river,NN,zárunu,ngàrúnúnú,tàzàrúnṹnṹ,dzàrúnṹlú,dngàrunubàrolulu,dzarunũ,
to flow,VB,mézimi,,ízàmĩ́mĩ,ígérímã̀mĩ,iméngimimi,imẽ́zimĩmĩ,ígérímĩ́mĩ
busy,JJ,nólumuno,,,,,,
to be born,VB,múranutórumu,,,,,umṹranũtórumũmũ,
glory,NN,mulugóramu,,,,,,
letter,NN,rázumu,,,,,,ròngúmṹ
bridge,NN,báluru,,Þàbàlúrúgo,,,þabaluru,ngbòlúrúnṹ
bicycle,NN,pórunu,,pórúnṹ,pórúnṹgù,,,
to repair,VB,kázumu,úgàngúmúmú,úgàzúmṹdàrúmṹmṹ,úgàzúmṹmṹ,ukàngumumu,ugazumũ,úkòngúmṹmṹlú
April,NNP,Kúrumuvóruma,ħħórúmúvórúmànú,Kúúrúmṹvórúmã̀nṹ,tàħórúmṹvórúmã̀nṹ,,taħórumũvórumãnũ,
cold,JJ,ħórumu,,tàħórúmṹ,tàħórúmṹ,tàħórumuvórumàlú,,
bright,"(ie, happy light)",férimili,,férímĩ́lí,férímĩ́lí,kérimili,þaglízali,
clock,NN,sólunudógoru,,sólúnṹdógorúzólúnṹdógorúgook,,hólunudógoru,,
thirteen,JJ,vési,hàlú,hàlú,,,halu,
time,NN,sólunu,,tàzàlúmṹzólúnṹgo,sólúnṹzórúmṹ,Sólunulu,,hólúnṹ
to play,VB,pálumu,úbàlúmúmú,pàlúmṹ,pàlúmṹmṹ,àpàlumumu,palumũmũ,úbòlúmṹmṹ
to review,VB,périmi,íbérímíngíngímí,íbérímĩ́mĩ,íbérímĩ,,ibérimĩzizimĩ,
efficient,JJ,hélirili,hélírílí,hélúrúlú,,hélirili,,hélírílí
to be careful,VB,vérima,,,ígérímã̀zízímĩ,,,
to sit,VB,sólumu,àhólúmúngúngúngúmú,úzólúmṹmṹ,,àngólumungumu,uzólumũmũ,òngólúmṹngúbúmṹ
person,NN,náruma,nàrúmànàrúmàlú,nã̀rúmã̀nã̀rúmã̀gook,nã̀rúmã̀nã̀rúmã̀gùùng,nàrumànàrumàgo,nãrumãnãrumãgo,nõ̀rúmõ̀nõ̀rúmõ̀lú
to drink,VB,nízimi,ínííngímímí,ínĩ́zímĩ́mĩ,ínĩ́ĩ́zímĩ́zízímĩ,iníngimimi,inĩzimĩ,ínĩ́ngímĩ́mĩ
energy,NN,zérimi,ngérímílí,,,dngérimidérimàli,dzérimĩ,ngérímĩ
charm,NN,véramizéridáge,,,,,,
toe,NN,fíza,,,,,,
to recover/regain,VB,mérimi,,,,,imẽ́rimĩgemẽ,ímẽ́rímĩ́mĩ
window,NN,vólumu,,,bvólúmṹlú,bvólumumúrunu,,vvólúmṹnṹ
bus,NN,trávumudógoru,,,tràvúmṹdógùrúnṹ,,Travumũdógoru,
snow,NN,súnaru,,úzúúnã̀rúnṹmṹ,,,súnãruzanõmũlu,húúnõ̀rú
road,NN,márugu,màrúgúnú,mã̀rúgúlú,,,mãrugunũ,
lamp,NN,dórunu,,,,,þadórunũnũ,
business,NN,nólumunonu,,,,,,
music,NN,límeri,làmùrúdórúmàgùùg,,líímĩ̀rí,límeri,límẽri,hélímĩ
small,JJ,póluru,pólúrílàgà,,Pólúrúlã,,,
secret,NN,púrumunu,púúrúmúnú,,,púrumunu,ubúrumĩnũ,
bird,NN,túrumu,túúrúmúlú,túúrúmṹlú,túúrúmṹgù,túrumu,túrumũgo,túúrúmṹmṹṹrúnṹ
sky,NN,féliri,kéríríní,félírínĩ,félírínĩ,kélirini,kélirivérizi,kérírínĩ
game,NN,dózama,þàdóngàmàgà,,,ngdóngàma,þadózamã,
stranger,NN,pórumu,,,,,,pórúmṹbórúmṹ
kindness,NN,sórulu,,,,,,hórúlúnṹ
to depend,VB,zórumu,,,,,,úngórúmṹmṹ
wool,NN,lúmuralurázamu,,,,,,
bat,NN,vúrunámora,tórúmùbàlúrúgù,,,,,
to be surprised,VB,vóruza,í-hàmí-mí,ízàmĩ́mĩ,ízàmĩ́mĩ,ingàminemi,izamĩmĩ,íngèmĩ́mĩ́lí
to seize / to grasp,VB,páruma,,úbàrúmã̀mṹ,,,,
boy,NN,dóramu,,Þàdràmṹdràmṹgook,,,,
life,NN,múranu,Sélímí,mṹṹrànṹmṹṹrànṹ,mṹṹrànṹlú,umúrànu,mṹranũzalumã,mṹṹrònṹngólúnṹ
extraordinary,JJ,zórazalu,ngóràngàlú,tàzórúzílú,,dngóràngàlu,dzórazalu,
to daydream,VB,sélimivélimi,,ízélímĩ́vélímĩ́mĩ,,,,
ambition,NN,mégevélami,,,,,mẽ́gevélamĩ,
pizza,NN,píza,,,,,,
Swedish,JJ,Swidi,,,,Swidiqge,Swidige,
director,NN,tóralugóruama,tóràlúgórúàmàgà,Tóràlúgórúàmã̀gook,tóràlúgórúwàmã̀gùùng,tóràlugóruwàmàgo,tóralugóruamãgo,tóròlúgórúòmõ̀gù
death,NN,míraninéri,,,,,mĩ́ranũnẽ́rili,mĩ́ĩ́rènĩ́nẽ́rílí
cat,NN,mázumu,màngúmú,,mã̀zúmṹ,màngumugo,mãzumũ,Mõ̀ngúmṹ
to chase,VB,dárumu,àdàrúmúmú,Þàdàrúmõdrúmã̀gook,àdàrúmṹmṹ,,adarumũmũ,òdòrúmṹmṹ
to climb,VB,fárumu,,,úvàrúmṹmṹ,,,
tree,NN,kóramudógoru,,kóràmṹdógorúnṹ,kíírímĩ́dógùrúlú,,,kóròmṹdógùrúgóvúnṹ
hand,NN,lóra,úlóràdàrúmúmú,nĩ́lóràdàgo,Tùlóràdàgùùng,lóràdàtàgo,ulóradarumũmũ,lóròdòngò
to ache,VB,kérimi,tíírímí,kérímĩ́mĩ,tézímĩ́lí,qírimi,igérimĩmĩ,nẽ́rílí
to break,VB,dórumodóruma,,,,,,
leg,NN,néri,nérídì,,nẽ́rídì,,nẽ́ridedage,
heart,NN,múranuzómut,númúúrànúngómúttàgà,mṹṹrànṹzómṹt,,Numúrànungómudàgo,mṹranũzómũt,Nṹmṹṹrònṹngómṹdògù
to count,VB,kérimi,,,íqgérímĩ́mĩ,,kélirinãvélirinã,ígérímĩ́mĩ
to possess/own,VB,páruma,þàdórúmàmúúrú,lórúmãã,úbàrúmã̀mṹ,púda,ubarumãmũ,
shimmer,NN,glíza,,,,ngglíngàqgà,Þaglízamĩ,ngglííngègèèd
to glow,VB,glizami,,þàglízàmĩ,,ngglingàmi,,
to distract,VB,lémarimi,ílémàrímímí,ílémã̀rímĩ́nẽ,,ilémàrimimi,i-lémãrimĩmĩ,ílémẽ̀rímĩ́mĩ
hunter,NN,dárumodóruma,Þàdàrúmùdórúmàgùùg,Þàdàrúmõdrúmã̀go,Ðdàrúmũ̀dórúmã,Zdàrumodórumàgo,Þadarumõdórumãgo,Tórúmũ̀dórúmõ̀gòòg
fox,NN,vúlumu,bbúúlúmúbúúlúmú,,bvúúlúmṹ,,tabúlumũ,vvúúlúmṹ
target,NN,tórunu,tórúnú,trúnṹdrúnṹ,tórúnṹ,tórunudórunu,,tórúnṹ
tongue,NN,zálumadárama,,,,,,
to find,VB,kélimi,íqgélímímí,ígélímĩ́mĩ,íqgélímĩ́zímĩ,iqgélimimi,igélimĩgemẽ,ígélímĩ́mĩ
to gift,VB,tórumuzubimi,,,,,,
caffeinated,JJ,kávuruzúra,,,,,,kòvúrúngúúròngò
snacker,NN,sánumunáru,hànùmúnàrú,sànṹmṹnã̀rúgo,,hànomunàru,,
tired,JJ,zérimidérimali,ngérímídérímàngérímídérímàlí,,,dngérimidérimàli,dzérimĩdérimãli,
professor,NN,zúramáguzúra,ngúúràgúúràgà,,,dngúràmàgungúràngúràmàgungúra,,ngúúròmõ̀gúngúúrògòòg
teacher,NN,zúragúra,ngúúràgúúràgà,tàzúúràgúúràlí,dzúúràgúúrã,dngúràgúràgo,dzúragúrago,ngúúrògúúrògòòg
nuisance,NN,kérimoshtórumodóruma,,,,qérimoshtórumodóruma,,
emperor,NNP,Máguzúrazóronara,Màgúngúúràngórùnàràgùùg,mã̀gúzúúràzóronã̀ràgook,Mã̀gúzúúràzórùnã̀ràgùùng,Màgungúràngóronàràgo,Mãguzúrazóronãrago,Mõ̀gúngúúròngórùnõ̀rògòòg
ice cream,NN,súnaruzánomu,,,,,súnãruzanõmũlu,mṹṹrònṹngólúnṹ
stately,JJ,máguzulu,,,,,mãguzulu,
animal,NN,báruna,,,mṹṹrànṹbàrúmṹ,ngbàruna,þabarunã,ngbòrúnõ̀lú
dome,NN,spíra,,,spíírànṹ,,spíranĩ,
fish,NN,nímera,níímìràqgì,,pìnĩ́ĩ́mĩ̀ràqgà,,,
to fish,VB,bílega,þàbíílìqgàmí,,pìnĩ́ĩ́mĩ̀ràqgà,,,
red,JJ,xáru,,xórúmõ,tànṹrú,,Xaru,xòrú
mathematician,NN,kérimeshdérima,,,,,,Kérímĩ̀shdérímõ̀gòòg
knowledge,NN,sérimini,hérímíní,sérímĩ́nĩ,sérímĩ́nĩ,,,
scientist,NN,sériminizéradarima,hérímíníngéràdàrímàqgììd,,Sérímĩ́nĩ́zéràdàrímã̀qgììn,hériminingéràdàrimàqgà,sérimĩnĩzéradarimã,hérímĩ́nĩ́ngérèdèrímẽ̀ngè
to run,VB,rúzamu,àrúúngàmúmú,àrúúzàmṹmṹ,àrúúzàmṹzúzúmṹ,àrúngàmungungumu,arúzumũzubumũ,rúúngòmṹmṹ
conscience,NN,gorumaluxórumu,,,ðgùrúmã̀lúghórúmṹ,,,
kilometer,NN,kílimiri,qíílímíríqgíílímírí,,kíílímĩ́rí,qílimiri,qílimĩri,qíílímĩ́rí
race,NN,fúramu,,fúúràmṹnṹ,fúúràmṹnṹ,fúràmuhpàrànu,fúramũnũ,fúúròmṹnṹ
binoculars,NN,múrudógoru,,,,,mṹrudógorugo,
to get married,VB,númazamu,ànúúmàngàmúgùmù,mã̀nã̀rúmã̀mṹ,mã̀nã̀rú,màyhpànomu,,ngbórùmṹ
month,NN,sélimivári,hélímígàríní,,,,,
good,JJ,górumalu,þàdórúmàmúúrú,,ðgórúmṹ,nggórumàlu,þagórumãlu,nggórúmõ̀lú
best,RB,górumu,,,,nggórumu,,
worst,RB,mórumu,,,,mórumu,,
